t	CH1	CH2
0.000000e+00	-1.087541e-03	-3.809581e+00
1.000000e-08	-1.047628e-03	-3.872232e+00
2.000000e-08	-8.747160e-04	-3.906763e+00
3.000000e-08	-7.704738e-04	-3.957899e+00
4.000000e-08	-3.090262e-04	-4.019950e+00
5.000000e-08	-9.356025e-04	-4.009603e+00
6.000000e-08	-1.241917e-03	-4.042105e+00
7.000000e-08	-1.107508e-03	-4.090687e+00
8.000000e-08	-6.222980e-04	-4.107266e+00
9.000000e-08	-6.398605e-04	-4.157400e+00
1.000000e-07	-5.268555e-04	-4.179073e+00
1.100000e-07	-1.078648e-03	-4.221528e+00
1.200000e-07	-9.673637e-04	-4.231687e+00
1.300000e-07	-9.044081e-04	-4.285817e+00
1.400000e-07	-8.186101e-04	-4.306816e+00
1.500000e-07	-1.057712e-03	-4.358422e+00
1.600000e-07	-1.060444e-03	-4.389998e+00
1.700000e-07	-8.117362e-04	-4.430552e+00
1.800000e-07	-7.323082e-04	-4.421178e+00
1.900000e-07	-8.527625e-04	-4.462584e+00
2.000000e-07	-1.068749e-03	-4.503815e+00
2.100000e-07	-9.401743e-04	-4.518866e+00
2.200000e-07	-1.274170e-03	-4.548951e+00
2.300000e-07	-1.074124e-03	-4.578480e+00
2.400000e-07	-7.193183e-04	-4.622105e+00
2.500000e-07	-9.286755e-04	-4.633686e+00
2.600000e-07	-9.816489e-04	-4.684741e+00
2.700000e-07	-8.276169e-04	-4.697842e+00
2.800000e-07	-7.144247e-04	-4.747947e+00
2.900000e-07	-1.186864e-03	-4.770946e+00
3.000000e-07	-1.410377e-03	-4.841632e+00
3.100000e-07	-1.506191e-03	-4.821782e+00
3.200000e-07	-1.518629e-03	-4.926834e+00
3.300000e-07	-1.041485e-03	-4.929443e+00
3.400000e-07	-8.267321e-04	-4.959097e+00
3.500000e-07	-7.286368e-04	-4.968474e+00
3.600000e-07	-1.012462e-03	-5.041632e+00
3.700000e-07	-8.608863e-04	-5.062656e+00
3.800000e-07	-1.206102e-03	-5.064142e+00
3.900000e-07	-1.643863e-03	-5.108366e+00
4.000000e-07	-1.821064e-03	-5.157919e+00
4.100000e-07	-1.195985e-03	-5.149528e+00
4.200000e-07	-1.149564e-03	-5.200476e+00
4.300000e-07	-8.902033e-04	-5.231053e+00
4.400000e-07	-8.991193e-04	-5.273233e+00
4.500000e-07	-8.660072e-04	-5.323741e+00
4.600000e-07	-1.386319e-03	-5.273838e+00
4.700000e-07	-1.682845e-03	-5.356295e+00
4.800000e-07	-1.659769e-03	-5.392520e+00
4.900000e-07	-1.394203e-03	-5.424156e+00
5.000000e-07	-1.371272e-03	-5.443682e+00
5.100000e-07	-1.166968e-03	-5.466764e+00
5.200000e-07	-9.408730e-04	-5.507313e+00
5.300000e-07	-1.041319e-03	-5.488921e+00
5.400000e-07	-1.487446e-03	-5.568998e+00
5.500000e-07	-1.694679e-03	-5.590022e+00
