t	CH1	CH2
0.000000e+00	-8.418073e-04	-3.859134e+00
1.000000e-08	-1.374914e-03	-3.945266e+00
2.000000e-08	-1.460183e-03	-3.978445e+00
3.000000e-08	-3.658475e-04	-3.978975e+00
4.000000e-08	-4.192382e-04	-4.020479e+00
5.000000e-08	-7.551298e-04	-4.032079e+00
6.000000e-08	-8.879989e-04	-4.064133e+00
7.000000e-08	-1.453520e-03	-4.106213e+00
8.000000e-08	-1.481570e-03	-4.147796e+00
9.000000e-08	-4.482459e-04	-4.189974e+00
1.000000e-07	-6.725535e-04	-4.240049e+00
1.100000e-07	-1.074501e-03	-4.232634e+00
1.200000e-07	-1.074634e-03	-4.273686e+00
1.300000e-07	-7.157672e-04	-4.327720e+00
1.400000e-07	-9.884153e-04	-4.357946e+00
1.500000e-07	-1.318877e-03	-4.368976e+00
1.600000e-07	-1.240702e-03	-4.389453e+00
1.700000e-07	-1.039967e-03	-4.420559e+00
1.800000e-07	-9.966970e-04	-4.472507e+00
1.900000e-07	-5.865248e-04	-4.464263e+00
2.000000e-07	-9.182649e-04	-4.518793e+00
2.100000e-07	-1.295908e-03	-4.596468e+00
2.200000e-07	-1.529094e-03	-4.571002e+00
2.300000e-07	-9.758224e-04	-4.620611e+00
2.400000e-07	-8.337313e-04	-4.633659e+00
2.500000e-07	-1.111920e-03	-4.714610e+00
2.600000e-07	-1.198057e-03	-4.696340e+00
2.700000e-07	-1.061392e-03	-4.727890e+00
2.800000e-07	-1.194537e-03	-4.762426e+00
2.900000e-07	-1.078661e-03	-4.850476e+00
3.000000e-07	-1.093515e-03	-4.890189e+00
3.100000e-07	-1.308308e-03	-4.925312e+00
3.200000e-07	-1.309239e-03	-4.927922e+00
3.300000e-07	-1.038547e-03	-4.989321e+00
3.400000e-07	-9.703546e-04	-4.989975e+00
3.500000e-07	-1.204819e-03	-5.000652e+00
3.600000e-07	-1.248812e-03	-5.053179e+00
3.700000e-07	-1.364703e-03	-5.105687e+00
3.800000e-07	-1.277330e-03	-5.074239e+00
3.900000e-07	-1.308168e-03	-5.147319e+00
4.000000e-07	-1.260854e-03	-5.188476e+00
4.100000e-07	-1.372621e-03	-5.211029e+00
4.200000e-07	-1.347476e-03	-5.221630e+00
4.300000e-07	-1.224938e-03	-5.221610e+00
4.400000e-07	-1.347271e-03	-5.295136e+00
4.500000e-07	-1.474976e-03	-5.303268e+00
4.600000e-07	-1.292682e-03	-5.366843e+00
4.700000e-07	-1.379072e-03	-5.399971e+00
4.800000e-07	-1.332471e-03	-5.422030e+00
4.900000e-07	-1.428133e-03	-5.453610e+00
5.000000e-07	-1.508734e-03	-5.504295e+00
5.100000e-07	-1.575977e-03	-5.555893e+00
5.200000e-07	-1.373100e-03	-5.556947e+00
5.300000e-07	-1.379471e-03	-5.588375e+00
5.400000e-07	-1.433043e-03	-5.599476e+00
5.500000e-07	-1.631809e-03	-5.630525e+00
5.600000e-07	-1.644750e-03	-5.630526e+00
5.700000e-07	-1.707745e-03	-5.641579e+00
5.800000e-07	-1.782630e-03	-5.652555e+00
5.900000e-07	-1.638125e-03	-5.663631e+00
6.000000e-07	-1.758508e-03	-5.663662e+00
6.100000e-07	-1.686590e-03	-5.693767e+00
6.200000e-07	-1.540216e-03	-5.744293e+00
6.300000e-07	-1.651561e-03	-5.716769e+00
6.400000e-07	-1.835777e-03	-5.766373e+00
6.500000e-07	-1.855779e-03	-5.774895e+00
6.600000e-07	-1.955590e-03	-5.788521e+00
6.700000e-07	-1.854254e-03	-5.810475e+00
6.800000e-07	-1.905299e-03	-5.801555e+00
6.900000e-07	-1.898326e-03	-5.830126e+00
7.000000e-07	-1.918369e-03	-5.810630e+00
7.100000e-07	-2.055035e-03	-5.852655e+00
7.200000e-07	-1.997062e-03	-5.883105e+00
7.300000e-07	-1.963234e-03	-5.883213e+00
7.400000e-07	-2.077983e-03	-5.924717e+00
7.500000e-07	-2.029107e-03	-5.906787e+00
7.600000e-07	-2.024747e-03	-5.874291e+00
7.700000e-07	-2.102015e-03	-5.945886e+00
7.800000e-07	-2.266506e-03	-5.917893e+00
7.900000e-07	-2.341365e-03	-5.927395e+00
8.000000e-07	-2.409204e-03	-5.948374e+00
8.100000e-07	-2.359958e-03	-5.977947e+00
8.200000e-07	-2.215345e-03	-5.948449e+00
8.300000e-07	-2.142460e-03	-5.999474e+00
